"Sample","181155|Veillonellaceae","495396|Tissierellaceae","1077373|Prevotellaceae","1107027|Lactobacillaceae","197537|Bacteroidaceae","174842|Porphyromonadaceae","363794|Coriobacteriaceae","185186|Verrucomicrobiaceae","176337|Ruminococcaceae","180082|Porphyromonadaceae","199524|NA","220970|Enterobacteriaceae","813479|Bifidobacteriaceae","559527|Bifidobacteriaceae","820346|Enterobacteriaceae","198183|NA","659361|Lachnospiraceae","358333|Lachnospiraceae","808486|Enterobacteriaceae","197343|Lachnospiraceae","187623|Bacteroidaceae","197562|Ruminococcaceae","367215|Erysipelotrichaceae","4174963|Bacteroidaceae","2063400|Bacteroidaceae","759751|Lachnospiraceae","198928|Lachnospiraceae","1928156|Lachnospiraceae","352933|NA","842596|Lachnospiraceae","975306|Lachnospiraceae","4333897|Enterobacteriaceae","4391262|Enterobacteriaceae","339905|S24-7","786449|Lachnospiraceae","328905|Ruminococcaceae","325850|NA","4448331|Enterobacteriaceae","1684221|Desulfovibrionaceae","367092|Lachnospiraceae","3867172|Enterobacteriaceae","1111582|Enterococcaceae","328617|Bacteroidaceae","295085|Lachnospiraceae","365181|Coriobacteriaceae","289452|Lachnospiraceae","360238|Erysipelotrichaceae","528652|Ruminococcaceae","461795|Ruminococcaceae","4451251|Coriobacteriaceae","325977|Lachnospiraceae","592139|Clostridiaceae","922761|Enterobacteriaceae","141145|Enterobacteriaceae","New.CleanUp.ReferenceOTU3631|Lachnospiraceae","New.CleanUp.ReferenceOTU21685|Lachnospiraceae","New.CleanUp.ReferenceOTU24351|Bacteroidaceae","New.CleanUp.ReferenceOTU33851|Bacteroidaceae","New.CleanUp.ReferenceOTU49633|Ruminococcaceae","New.CleanUp.ReferenceOTU50254|Odoribacteraceae","New.CleanUp.ReferenceOTU60967|Erysipelotrichaceae","New.CleanUp.ReferenceOTU75977|Enterobacteriaceae","New.CleanUp.ReferenceOTU77070|Bacteroidaceae","Response"
"P26",0,0,0,0,0,0,0.000833965125094769,0,0,0.0141015921152388,0.000151630022744503,0,0,0.00303260045489007,0,7.58150113722517e-05,0,0,0,0.000227445034116755,7.58150113722517e-05,0,0,0.000379075056861259,0,0.00356330553449583,0,0,0,7.58150113722517e-05,0.000379075056861259,0,0,7.58150113722517e-05,0,0,0,0,0,0.00212282031842305,0,0,0.000151630022744503,0,0.000758150113722517,7.58150113722517e-05,0,0.000227445034116755,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0.000151630022744503,0,0,0.000227445034116755,7.58150113722517e-05,0,7.58150113722517e-05,"NonResponder"
"P39",0,0,0,0,0,0.000227445034116755,0.00492797573919636,7.58150113722517e-05,0,0.0221379833206975,0,0,0,0,0,0,0,0,0,0,0,0,0.000530705079605762,0,0,0.00212282031842305,0,0,0,7.58150113722517e-05,0.000151630022744503,0,0,0,0,0.00553449583017437,0,0,0,0.000303260045489007,0,0,7.58150113722517e-05,0,0.00250189537528431,0,0,0.000151630022744503,0.00090978013646702,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,0,"Responder"
"P04",0,0,0,0,0,0.000151630022744503,7.58150113722517e-05,0,0,0.00447308567096285,0,0,0,0.00530705079605762,0,0,0,7.58150113722517e-05,0,0,0,0,0.000985595147839272,7.58150113722517e-05,0,0.00045489006823351,0,0,0,0.000379075056861259,0.000227445034116755,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,0,0.000227445034116755,7.58150113722517e-05,0,0,0,0,0.000151630022744503,0,0.000151630022744503,0,0,0,0.000227445034116755,0,0,0,"NonResponder"
"P21",0,0,0,0,0,0,0.00121304018195603,0,0.000151630022744503,0,7.58150113722517e-05,0,0,0.00295678544351782,0,7.58150113722517e-05,0,0,0,0.000227445034116755,0,0,0.00045489006823351,0.000303260045489007,0,0.00515542077331312,0.000227445034116755,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0.00470053070507961,0,7.58150113722517e-05,0,0,0.000833965125094769,0,0,7.58150113722517e-05,0,0,0.000227445034116755,0,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,"NonResponder"
"P23",0,0,0,0,0.000227445034116755,0.00045489006823351,0.00591357088703563,0.000151630022744503,0,0,0,0,0.000151630022744503,0.00924943138741471,0,0,0,0,0.000227445034116755,7.58150113722517e-05,7.58150113722517e-05,0,0.000227445034116755,0,0,0.000227445034116755,0.00113722517058378,0,0,0,0,0.000227445034116755,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,0,0,0,7.58150113722517e-05,0,0,0.00280515542077331,0,0,0,0,0,0.00128885519332828,0,0,0.00090978013646702,0,0,0,0,0,0,0,0,0,"Responder"
"P34",0,0,0,7.58150113722517e-05,0,0.000151630022744503,0.00227445034116755,0.000227445034116755,0,0.00689916603487491,0,0,0,0.00272934040940106,0,0,0,0,0,0,0,7.58150113722517e-05,0.000227445034116755,0,0,0.0023502653525398,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0.00447308567096285,0,0,0,0,0.000151630022744503,0,7.58150113722517e-05,0.00136467020470053,0,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0,0.000151630022744503,7.58150113722517e-05,0,0,7.58150113722517e-05,"Responder"
"P08",0,0,0,0,0,0,0.000606520090978014,0,0,0,0.000379075056861259,0,7.58150113722517e-05,0.0181197877179682,0.00363912054586808,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,0,0,0.00045489006823351,7.58150113722517e-05,0.000530705079605762,0,0,0.000379075056861259,0,0.00045489006823351,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0.000227445034116755,0,7.58150113722517e-05,0.000151630022744503,0,0.000303260045489007,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,0,0.0021986353297953,0,0,0,0,0,7.58150113722517e-05,0,0,0,0.000151630022744503,"NonResponder"
"P33",0,0,7.58150113722517e-05,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,0.00144048521607278,0,0,0,7.58150113722517e-05,0,0,0.000227445034116755,0,0.00045489006823351,7.58150113722517e-05,0,0,0,0.000151630022744503,7.58150113722517e-05,0.000151630022744503,0,0,0,0,0,0,0.00181956027293404,7.58150113722517e-05,0,0,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0.000227445034116755,0,0,0,0,0,7.58150113722517e-05,0,0,0,"Responder"
"P42",0,0,0,0.000227445034116755,0,0.000151630022744503,0,0,7.58150113722517e-05,0.000151630022744503,0.000151630022744503,0,0,0.00106141015921152,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0.000985595147839272,0.000606520090978014,7.58150113722517e-05,0.0021986353297953,0.000227445034116755,7.58150113722517e-05,0,0,0.000379075056861259,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0,0.000151630022744503,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,"NonResponder"
"P18",0,0,0,7.58150113722517e-05,0.000151630022744503,7.58150113722517e-05,0,0,0,0.0225170583775588,0,0,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0,0,0,0,0.000833965125094769,0.000151630022744503,0,0.000833965125094769,0.000151630022744503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0.000227445034116755,0,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,0.000151630022744503,"NonResponder"
"P37",0,0,0,0.000151630022744503,7.58150113722517e-05,0.000227445034116755,0,0,0,0.012054586808188,0,7.58150113722517e-05,0,0.000227445034116755,0.00144048521607278,0,0.00652009097801365,0,0.000379075056861259,0,7.58150113722517e-05,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0.000151630022744503,0,0,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0.000303260045489007,0.000303260045489007,0,7.58150113722517e-05,0,0,0,0.000151630022744503,0,0,7.58150113722517e-05,0,0.0043972706595906,0.00128885519332828,0.000151630022744503,0,0,0,0.000303260045489007,0,0,0.000151630022744503,7.58150113722517e-05,"Responder"
"P12",0,0,0,0,0,0,0,0,0,0,0.000379075056861259,0,0,0,0.00432145564821835,0,0,0,7.58150113722517e-05,0,0,0,0,0,0.000530705079605762,0.00250189537528431,0,7.58150113722517e-05,0,0,7.58150113722517e-05,7.58150113722517e-05,0.000151630022744503,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257771038665656,0.000985595147839272,0,0,7.58150113722517e-05,0,0,0,0,0,0,"NonResponder"
"P14",0,0,0,0,0,0,0.000151630022744503,0,0.000151630022744503,0.01144806671721,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,7.58150113722517e-05,7.58150113722517e-05,0.00166793025018954,7.58150113722517e-05,0.000227445034116755,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0.000151630022744503,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0.000151630022744503,0.000151630022744503,0,0,0,0,0,7.58150113722517e-05,0,0,0.000151630022744503,"NonResponder"
"P16",0,0,0,0.00644427596664139,7.58150113722517e-05,0.000151630022744503,0.00712661106899166,0,0,0.0087945413191812,0,0,7.58150113722517e-05,0.00978013646702047,0.000379075056861259,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0.00485216072782411,0,0,0.000151630022744503,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,0.0697498104624716,0,0,0.00485216072782411,0,7.58150113722517e-05,7.58150113722517e-05,0,7.58150113722517e-05,0.00272934040940106,0,0.000303260045489007,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,"Responder"
"P36",0,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0.000985595147839272,0,0,0.0541319181197877,0,0,0.000151630022744503,0.00341167551175133,0,0,0,0,0.000151630022744503,0,7.58150113722517e-05,0,0.000530705079605762,0.000227445034116755,0,0.000303260045489007,0.000833965125094769,0,0,7.58150113722517e-05,7.58150113722517e-05,7.58150113722517e-05,7.58150113722517e-05,0,7.58150113722517e-05,0,0.00720242608036391,7.58150113722517e-05,0,0,0.000151630022744503,7.58150113722517e-05,0,0,0.000682335102350265,0,7.58150113722517e-05,7.58150113722517e-05,0,0.000151630022744503,0.000682335102350265,0,0,0.000758150113722517,7.58150113722517e-05,0,0,0.000151630022744503,7.58150113722517e-05,0,0,0,0,"Responder"
"P06",0,0,0,0,7.58150113722517e-05,0,0,0,0,0.000151630022744503,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0.00090978013646702,0,0.000303260045489007,0.00697498104624716,0,0,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,"NonResponder"
"P17",0,0,0,7.58150113722517e-05,0,0,0.000758150113722517,0,0,0.00856709628506444,7.58150113722517e-05,0,0,0.00197119029567854,0.000530705079605762,0,0,7.58150113722517e-05,0,0.000151630022744503,0,0,0,7.58150113722517e-05,0,0.000151630022744503,0,0.000151630022744503,0,0.000682335102350265,0.000379075056861259,0,0,0,0,0,0,0,7.58150113722517e-05,0.00121304018195603,0,0,0,0,0.000379075056861259,7.58150113722517e-05,0,0.00045489006823351,0,0,0,0,0.00136467020470053,0,0,0,0,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,"NonResponder"
"P01",7.58150113722517e-05,0,0,0.000227445034116755,0,0,0.000606520090978014,0,0,0.0131159969673995,0,0,0,0,0,0.000151630022744503,0.000303260045489007,0.000379075056861259,0.000303260045489007,7.58150113722517e-05,0,0,0.000530705079605762,7.58150113722517e-05,0,0.00682335102350265,0,0,0,0,0.000379075056861259,0,0.000151630022744503,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0.000227445034116755,7.58150113722517e-05,0,0,0.00090978013646702,7.58150113722517e-05,0,0,0,0,0,0,0,0.00121304018195603,0,0.000379075056861259,7.58150113722517e-05,0,0,0.000303260045489007,0,0,7.58150113722517e-05,"NonResponder"
"P07",0,0,0,0,7.58150113722517e-05,0,0,0,0,0.0168309325246399,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0.000303260045489007,0,0.00326004548900682,0,0,0,0,0,0,0,0,0,0.000227445034116755,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,"Responder"
"P40",0,0,0,0.000151630022744503,0,0,0.00136467020470053,0,0,0.0256254738438211,7.58150113722517e-05,0,0,0.000530705079605762,0.000379075056861259,0,0,7.58150113722517e-05,0.000151630022744503,0.000227445034116755,0,0,0.000379075056861259,0.000227445034116755,7.58150113722517e-05,7.58150113722517e-05,7.58150113722517e-05,0.000151630022744503,0,0.00090978013646702,7.58150113722517e-05,0,0,0,0,0,0,0,0,0.00280515542077331,0,0,7.58150113722517e-05,0,0.00113722517058378,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,7.58150113722517e-05,0.00045489006823351,0.000151630022744503,0,0,0,0,0,0,0,0,7.58150113722517e-05,"NonResponder"
"P31",0,0,0,0.000151630022744503,0,0,0,0,0,0.033434420015163,0,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0,0,0.000303260045489007,0.000530705079605762,0,0.00386656557998484,0.00151630022744503,0,0,0.00174374526156179,0,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0,0,0.000227445034116755,0,0,0,0,0.000227445034116755,0,0,0.00144048521607278,0,0,0,0,0,0,0,0,0.000303260045489007,0.000151630022744503,0,0,"NonResponder"
"P30",0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0,0,0,0,0.000530705079605762,7.58150113722517e-05,0,0.020166793025019,7.58150113722517e-05,0,0,0.000303260045489007,0,0,0,0,0,0,0,0,7.58150113722517e-05,0.000151630022744503,0,0.000151630022744503,0,0,0,0,0,0.00045489006823351,0,0.000151630022744503,0.000379075056861259,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,0,0,0,0,7.58150113722517e-05,"NonResponder"
"P05",0,0,0,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0.00045489006823351,0,0,0.00363912054586808,7.58150113722517e-05,0.000227445034116755,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0.00045489006823351,0,0.00121304018195603,0,0,0,0,0.000606520090978014,0,0,7.58150113722517e-05,0,0,0,0.000151630022744503,7.58150113722517e-05,0.00272934040940106,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0.000303260045489007,0,0,0.000151630022744503,0,0,0,0,0,0.000151630022744503,"NonResponder"
